"subject","method","mean","sd"
"butler","computer",6.36666666666667,2.1088211011799
"effie","computer",11.9333333333333,2.19613034807753
"harris","computer",11.5,1.96082319096009
"lee","computer",13,1.9826836567538
"mhango","computer",12.1333333333333,1.63440030831375
"neil","computer",5.7,2.01973026536406
"person1","computer",10.1,1.68870486999092
"person2","computer",13.1,2.82049151989385
"potter","computer",9.03333333333333,1.95612800747016
"wager","computer",11.2333333333333,2.04574130115818
"butler","live",11.7666666666667,1.79430772998532
"harris","live",14.2666666666667,2.08332183904875
"wager","live",13.1666666666667,1.74362550023148
